Tag,Tag2,Bids_name,MRI_type
3Plane_Loc,i00001,3Plane_Loc_ax,IGNORED
3Plane_Loc,i00013,3Plane_Loc_sag,IGNORED
3Plane_Loc,i00025,3Plane_Loc_cor,IGNORED
MPRAGE,,MPRAGE,anat
Opt_DTI,Eq_1,acq-singleshell_DWI,dwi
Opt_DTI,_4_,acq-multishell-4_DWI,dwi
Opt_DTI,_5_,acq-multishell-5_DWI,dwi
3D_EPI,SWIphase,acq-phase_T2star,anat
3D_EPI,,acq-mag_T2star,anat
MP2RAGE,e1,inv-1_part-mag_MP2RAGE,anat
MP2RAGE,e2,inv-2_part-mag_MP2RAGE,anat
NOT_DIAGNOSTIC,MP2RAGE,MP2RAGE,anat
NOT_DIAGNOSTIC,MP2RAGE_PSIR,MP2RAGE_PSIR,anat
NOT_DIAGNOSTIC,T1map,T1map,anat
DIR,ORIG,run-ORIG_DIR,anat
DIR,,DIR,anat
AX_REFORMAT,,AX_REFORMAT,IGNORED
COR_REFORMAT,,COR_REFORMAT,IGNORED
Ax_T2_Propeller,,Ax_T2_Propeller,IGNORED
FLAIR,ORIG,run-ORIG_FLAIR,anat
FLAIR,,FLAIR,anat
